trigger_class,rt,prior,workerid,slide_number_in_experiment,question_type,prior_fact,Answer.time_in_minutes,trigger,short_trigger,content,response,block
C,6385,high_prior,0,52,ai,Josh is a 5-year old boy,7.809833333333334,acknowledge,acknowledge,josh,0.48,block2
C,5249,high_prior,0,53,ai,Emily has been saving for a year,7.809833333333334,hear,hear,emily,0.49,block2
C,10020,low_prior,0,54,ai,Danny is a diabetic,7.809833333333334,demonstrate,demonstrate,danny,0.48,block2
C,4787,high_prior,0,55,ai,Josie loves France,7.809833333333334,know,know,josie,0.5,block2
MC,7535,,0,56,ai,Garages are used to store cars and other things,7.809833333333334,MC,MC,garage,0.96,block2
C,3224,low_prior,0,57,ai,Owen lives in New Orleans,7.809833333333334,see,see,owen,0.45,block2
C,1605,low_prior,1,5,projective,Sophia is a high end fashion model,1.5171833333333333,confess,confess,sophia,0.65,block1
C,975,high_prior,1,6,projective,Josie loves France,1.5171833333333333,prove,prove,josie,0.62,block1
C,848,low_prior,1,7,projective,Jayden doesn't have a driver's license,1.5171833333333333,confirm,confirm,jayden,0.67,block1
MC,1608,,1,8,projective,Ballet is a type of dance,1.5171833333333333,MC,MC,ballet,0.5,block1
C,1327,low_prior,1,9,projective,Julian is German,1.5171833333333333,establish,establish,julian,0.68,block1
MC,831,,1,10,projective,Garages are used to store cars and other things,1.5171833333333333,MC,MC,garage,0.7,block1
C,1208,high_prior,1,11,projective,Frank has always wanted a pet,1.5171833333333333,think,think,frank,0.63,block1
C,944,high_prior,1,12,projective,Jackson is training for a marathon,1.5171833333333333,reveal,reveal,jackson,0.68,block1
MC,871,,1,13,projective,Hats are worn on the head,1.5171833333333333,MC,MC,hat,0.54,block1
MC,1112,,1,14,projective,Pizza is sold at the pizzeria,1.5171833333333333,MC,MC,pizza,0.39,block1
C,775,low_prior,1,15,projective,Charley lives in Korea,1.5171833333333333,pretend,pretend,charley,0.54,block1
MC,735,,1,16,projective,Muffins are sold at the bakery,1.5171833333333333,MC,MC,muffins,0.63,block1
MC,1855,,1,17,projective,Many children like ice cream,1.5171833333333333,MC,MC,kids,0.57,block1
C,847,low_prior,1,18,projective,Grace hates her sister,1.5171833333333333,know,know,grace,0.6,block1
C,1912,low_prior,1,19,projective,Tony has been sober for 20 years,1.5171833333333333,hear,hear,tony,0.7,block1
C,761,low_prior,1,20,projective,Zoe is 5 years old,1.5171833333333333,discover,discover,zoe,0.62,block1
C,1455,high_prior,1,21,projective,Mia is a college student,1.5171833333333333,be_right,be_right,mia,0.63,block1
C,1199,high_prior,1,22,projective,Isabella is from Argentina,1.5171833333333333,demonstrate,demonstrate,isabella,0.5,block1
C,800,high_prior,1,23,projective,Mary is taking a prenatal yoga class,1.5171833333333333,acknowledge,acknowledge,mary,0.64,block1
C,1191,low_prior,1,24,projective,Emma is in first grade,1.5171833333333333,announce,announce,emma,0.55,block1
C,810,high_prior,1,25,projective,Josh is a 5-year old boy,1.5171833333333333,see,see,josh,0.68,block1
C,1566,high_prior,1,26,projective,Jon lives 2 blocks away from work,1.5171833333333333,inform,inform,jon,0.6,block1
C,751,low_prior,1,27,projective,Owen lives in New Orleans,1.5171833333333333,be_annoyed,be_annoyed,owen,0.66,block1
C,855,low_prior,1,28,projective,Danny is a diabetic,1.5171833333333333,admit,admit,danny,0.53,block1
C,791,high_prior,1,29,projective,Olivia works the third shift,1.5171833333333333,suggest,suggest,olivia,0.61,block1
C,775,high_prior,1,30,projective,Emily has been saving for a year,1.5171833333333333,say,say,emily,0.55,block1
C,3173,high_prior,1,32,ai,Jon lives 2 blocks away from work,1.5171833333333333,inform,inform,jon,0.6,block2
MC,872,,1,33,ai,Garages are used to store cars and other things,1.5171833333333333,MC,MC,garage,0.58,block2
MC,769,,1,34,ai,Muffins are sold at the bakery,1.5171833333333333,MC,MC,muffins,0.66,block2
C,1166,low_prior,1,35,ai,Emma is in first grade,1.5171833333333333,announce,announce,emma,0.58,block2
C,734,high_prior,1,36,ai,Mary is taking a prenatal yoga class,1.5171833333333333,acknowledge,acknowledge,mary,0.64,block2
C,793,low_prior,1,37,ai,Julian is German,1.5171833333333333,establish,establish,julian,0.54,block2
C,2360,high_prior,1,38,ai,Josie loves France,1.5171833333333333,prove,prove,josie,0.68,block2
MC,791,,1,39,ai,Many children like ice cream,1.5171833333333333,MC,MC,kids,0.63,block2
C,792,high_prior,1,40,ai,Josh is a 5-year old boy,1.5171833333333333,see,see,josh,0.67,block2
MC,767,,1,41,ai,Pizza is sold at the pizzeria,1.5171833333333333,MC,MC,pizza,0.62,block2
C,727,high_prior,1,42,ai,Mia is a college student,1.5171833333333333,be_right,be_right,mia,0.55,block2
C,1375,low_prior,1,43,ai,Zoe is 5 years old,1.5171833333333333,discover,discover,zoe,0.65,block2
MC,759,,1,44,ai,Ballet is a type of dance,1.5171833333333333,MC,MC,ballet,0.56,block2
C,1347,low_prior,1,45,ai,Charley lives in Korea,1.5171833333333333,pretend,pretend,charley,0.64,block2
MC,1384,,1,46,ai,Hats are worn on the head,1.5171833333333333,MC,MC,hat,0.55,block2
C,1223,low_prior,1,47,ai,Sophia is a high end fashion model,1.5171833333333333,confess,confess,sophia,0.65,block2
C,825,high_prior,1,48,ai,Jackson is training for a marathon,1.5171833333333333,reveal,reveal,jackson,0.59,block2
C,2990,low_prior,1,49,ai,Jayden doesn't have a driver's license,1.5171833333333333,confirm,confirm,jayden,0.56,block2
C,977,high_prior,1,50,ai,Isabella is from Argentina,1.5171833333333333,demonstrate,demonstrate,isabella,0.62,block2
C,1304,high_prior,1,51,ai,Emily has been saving for a year,1.5171833333333333,say,say,emily,0.6,block2
C,2647,low_prior,1,52,ai,Owen lives in New Orleans,1.5171833333333333,be_annoyed,be_annoyed,owen,0.65,block2
C,871,low_prior,1,53,ai,Danny is a diabetic,1.5171833333333333,admit,admit,danny,0.6,block2
C,1327,low_prior,1,54,ai,Tony has been sober for 20 years,1.5171833333333333,hear,hear,tony,0.7,block2
C,792,high_prior,1,55,ai,Olivia works the third shift,1.5171833333333333,suggest,suggest,olivia,0.59,block2
C,1224,low_prior,1,56,ai,Grace hates her sister,1.5171833333333333,know,know,grace,0.57,block2
C,776,high_prior,1,57,ai,Frank has always wanted a pet,1.5171833333333333,think,think,frank,0.63,block2
MC,14377,,2,5,projective,Hats are worn on the head,9.838733333333334,MC,MC,hat,0,block1
MC,7966,,2,6,projective,Pizza is sold at the pizzeria,9.838733333333334,MC,MC,pizza,0,block1
C,7603,high_prior,2,7,projective,Sophia is a hipster,9.838733333333334,hear,hear,sophia,1,block1
C,15140,low_prior,2,8,projective,Owen lives in New Orleans,9.838733333333334,prove,prove,owen,0,block1
C,8597,high_prior,2,9,projective,Tony really likes to party with his friends,9.838733333333334,confess,confess,tony,0,block1
C,7637,high_prior,2,10,projective,Danny loves cake,9.838733333333334,be_annoyed,be_annoyed,danny,1,block1
C,5951,low_prior,2,11,projective,Mary is a middle school student,9.838733333333334,suggest,suggest,mary,0,block1
C,11927,low_prior,2,12,projective,Isabella is a vegetarian,9.838733333333334,think,think,isabella,0,block1
C,9100,low_prior,2,13,projective,Charley lives in Korea,9.838733333333334,admit,admit,charley,0,block1
C,11011,high_prior,2,14,projective,Josie loves France,9.838733333333334,pretend,pretend,josie,0,block1
MC,6148,,2,15,projective,Many children like ice cream,9.838733333333334,MC,MC,kids,0,block1
C,10239,low_prior,2,16,projective,Jon lives 10 miles away from work,9.838733333333334,inform,inform,jon,1,block1
MC,3993,,2,17,projective,Muffins are sold at the bakery,9.838733333333334,MC,MC,muffins,0,block1
C,8081,low_prior,2,18,projective,Olivia has two small children,9.838733333333334,confirm,confirm,olivia,0,block1
C,13611,low_prior,2,19,projective,Frank is allergic to cats,9.838733333333334,discover,discover,frank,0,block1
C,7333,high_prior,2,20,projective,Josh is a 5-year old boy,9.838733333333334,be_right,be_right,josh,0,block1
MC,3490,,2,21,projective,Ballet is a type of dance,9.838733333333334,MC,MC,ballet,0,block1
MC,6892,,2,22,projective,Garages are used to store cars and other things,9.838733333333334,MC,MC,garage,0,block1
C,14924,low_prior,2,23,projective,Emily never has any money,9.838733333333334,acknowledge,acknowledge,emily,0,block1
C,6209,high_prior,2,24,projective,Jayden's car is in the shop,9.838733333333334,reveal,reveal,jayden,0,block1
C,6270,low_prior,2,25,projective,Zoe is 5 years old,9.838733333333334,say,say,zoe,0,block1
C,6349,high_prior,2,26,projective,Jackson is training for a marathon,9.838733333333334,announce,announce,jackson,0,block1
C,6519,high_prior,2,27,projective,Julian is Cuban,9.838733333333334,know,know,julian,1,block1
C,9430,high_prior,2,28,projective,Grace loves her sister,9.838733333333334,establish,establish,grace,0,block1
C,5959,high_prior,2,29,projective,Mia is a college student,9.838733333333334,demonstrate,demonstrate,mia,0,block1
C,5730,low_prior,2,30,projective,Emma is in first grade,9.838733333333334,see,see,emma,1,block1
C,40567,low_prior,2,32,ai,Emily never has any money,9.838733333333334,acknowledge,acknowledge,emily,0,block2
C,15231,low_prior,2,33,ai,Mary is a middle school student,9.838733333333334,suggest,suggest,mary,0,block2
C,5368,low_prior,2,34,ai,Isabella is a vegetarian,9.838733333333334,think,think,isabella,0,block2
C,5685,high_prior,2,35,ai,Josie loves France,9.838733333333334,pretend,pretend,josie,0,block2
C,7140,low_prior,2,36,ai,Charley lives in Korea,9.838733333333334,admit,admit,charley,0,block2
C,13002,high_prior,2,37,ai,Josh is a 5-year old boy,9.838733333333334,be_right,be_right,josh,1,block2
C,9178,high_prior,2,38,ai,Grace loves her sister,9.838733333333334,establish,establish,grace,1,block2
C,10802,high_prior,2,39,ai,Sophia is a hipster,9.838733333333334,hear,hear,sophia,0,block2
C,10271,high_prior,2,40,ai,Mia is a college student,9.838733333333334,demonstrate,demonstrate,mia,0,block2
MC,8874,,2,41,ai,Muffins are sold at the bakery,9.838733333333334,MC,MC,muffins,1,block2
C,6623,high_prior,2,42,ai,Jackson is training for a marathon,9.838733333333334,announce,announce,jackson,1,block2
MC,7546,,2,43,ai,Ballet is a type of dance,9.838733333333334,MC,MC,ballet,1,block2
C,10254,high_prior,2,44,ai,Tony really likes to party with his friends,9.838733333333334,confess,confess,tony,1,block2
C,15420,low_prior,2,45,ai,Emma is in first grade,9.838733333333334,see,see,emma,0,block2
C,4836,low_prior,2,46,ai,Jon lives 10 miles away from work,9.838733333333334,inform,inform,jon,0,block2
C,9590,high_prior,2,47,ai,Julian is Cuban,9.838733333333334,know,know,julian,0,block2
MC,2548,,2,48,ai,Garages are used to store cars and other things,9.838733333333334,MC,MC,garage,1,block2
C,3684,high_prior,2,49,ai,Danny loves cake,9.838733333333334,be_annoyed,be_annoyed,danny,0,block2
C,8986,low_prior,2,50,ai,Zoe is 5 years old,9.838733333333334,say,say,zoe,1,block2
MC,6268,,2,51,ai,Pizza is sold at the pizzeria,9.838733333333334,MC,MC,pizza,1,block2
MC,4452,,2,52,ai,Hats are worn on the head,9.838733333333334,MC,MC,hat,1,block2
MC,5752,,2,53,ai,Many children like ice cream,9.838733333333334,MC,MC,kids,1,block2
C,5411,low_prior,2,54,ai,Olivia has two small children,9.838733333333334,confirm,confirm,olivia,1,block2
C,9926,low_prior,2,55,ai,Frank is allergic to cats,9.838733333333334,discover,discover,frank,0,block2
C,8324,low_prior,2,56,ai,Owen lives in New Orleans,9.838733333333334,prove,prove,owen,0,block2
C,6417,high_prior,2,57,ai,Jayden's car is in the shop,9.838733333333334,reveal,reveal,jayden,1,block2
MC,9247,,3,5,ai,Hats are worn on the head,8.221016666666667,MC,MC,hat,0.99,block1
MC,6264,,3,6,ai,Garages are used to store cars and other things,8.221016666666667,MC,MC,garage,1,block1
C,9136,low_prior,3,7,ai,Owen lives in New Orleans,8.221016666666667,reveal,reveal,owen,0.27,block1
C,9145,low_prior,3,8,ai,Jon lives 10 miles away from work,8.221016666666667,think,think,jon,0,block1
C,11480,low_prior,3,9,ai,Emily never has any money,8.221016666666667,be_annoyed,be_annoyed,emily,0.01,block1
C,6304,high_prior,3,10,ai,Jayden's car is in the shop,8.221016666666667,know,know,jayden,0.01,block1
C,9705,high_prior,3,11,ai,Julian is Cuban,8.221016666666667,inform,inform,julian,0,block1
C,8864,low_prior,3,12,ai,Charley lives in Korea,8.221016666666667,confirm,confirm,charley,0.83,block1
C,12936,low_prior,3,13,ai,Sophia is a high end fashion model,8.221016666666667,announce,announce,sophia,0.54,block1
C,5872,low_prior,3,14,ai,Jackson is obese,8.221016666666667,see,see,jackson,0.04,block1
MC,6752,,3,15,ai,Many children like ice cream,8.221016666666667,MC,MC,kids,1,block1
C,6335,high_prior,3,16,ai,Grace loves her sister,8.221016666666667,be_right,be_right,grace,0.83,block1
C,10929,high_prior,3,17,ai,Olivia works the third shift,8.221016666666667,confess,confess,olivia,0.53,block1
C,7272,low_prior,3,18,ai,Zoe is 5 years old,8.221016666666667,admit,admit,zoe,0.51,block1
C,7240,high_prior,3,19,ai,Danny loves cake,8.221016666666667,hear,hear,danny,0.35,block1
C,8432,high_prior,3,20,ai,Isabella is from Argentina,8.221016666666667,discover,discover,isabella,0.49,block1
C,10776,high_prior,3,21,ai,Mary is taking a prenatal yoga class,8.221016666666667,prove,prove,mary,0.45,block1
C,13448,high_prior,3,22,ai,Emma is in law school,8.221016666666667,suggest,suggest,emma,0.58,block1
MC,4832,,3,23,ai,Muffins are sold at the bakery,8.221016666666667,MC,MC,muffins,1,block1
C,9800,low_prior,3,24,ai,Josh is a 75-year old man,8.221016666666667,pretend,pretend,josh,0.41,block1
C,10272,low_prior,3,25,ai,Frank is allergic to cats,8.221016666666667,say,say,frank,0.84,block1
C,19024,low_prior,3,26,ai,Josie doesn't have a passport,8.221016666666667,establish,establish,josie,0.61,block1
C,7360,high_prior,3,27,ai,Tony really likes to party with his friends,8.221016666666667,acknowledge,acknowledge,tony,0.53,block1
MC,4048,,3,28,ai,Ballet is a type of dance,8.221016666666667,MC,MC,ballet,1,block1
C,13121,high_prior,3,29,ai,Mia is a college student,8.221016666666667,demonstrate,demonstrate,mia,0.57,block1
MC,2616,,3,30,ai,Pizza is sold at the pizzeria,8.221016666666667,MC,MC,pizza,1,block1
C,10079,high_prior,3,32,projective,Isabella is from Argentina,8.221016666666667,discover,discover,isabella,0.71,block2
C,6153,high_prior,3,33,projective,Mary is taking a prenatal yoga class,8.221016666666667,prove,prove,mary,0.41,block2
C,8064,low_prior,3,34,projective,Jon lives 10 miles away from work,8.221016666666667,think,think,jon,0.12,block2
MC,4120,,3,35,projective,Muffins are sold at the bakery,8.221016666666667,MC,MC,muffins,0,block2
C,7568,high_prior,3,36,projective,Mia is a college student,8.221016666666667,demonstrate,demonstrate,mia,0.29,block2
C,7472,low_prior,3,37,projective,Josie doesn't have a passport,8.221016666666667,establish,establish,josie,0.05,block2
C,6624,low_prior,3,38,projective,Charley lives in Korea,8.221016666666667,confirm,confirm,charley,0.05,block2
C,10248,low_prior,3,39,projective,Owen lives in New Orleans,8.221016666666667,reveal,reveal,owen,0.5,block2
C,6232,low_prior,3,40,projective,Zoe is 5 years old,8.221016666666667,admit,admit,zoe,0.27,block2
C,13104,high_prior,3,41,projective,Jayden's car is in the shop,8.221016666666667,know,know,jayden,0.5,block2
MC,3432,,3,42,projective,Pizza is sold at the pizzeria,8.221016666666667,MC,MC,pizza,0,block2
C,8216,low_prior,3,43,projective,Emily never has any money,8.221016666666667,be_annoyed,be_annoyed,emily,1,block2
MC,3599,,3,44,projective,Garages are used to store cars and other things,8.221016666666667,MC,MC,garage,0,block2
C,5679,high_prior,3,45,projective,Danny loves cake,8.221016666666667,hear,hear,danny,0.82,block2
C,4728,low_prior,3,46,projective,Jackson is obese,8.221016666666667,see,see,jackson,0.79,block2
C,14112,high_prior,3,47,projective,Emma is in law school,8.221016666666667,suggest,suggest,emma,0.11,block2
C,7105,high_prior,3,48,projective,Julian is Cuban,8.221016666666667,inform,inform,julian,0.62,block2
C,10240,high_prior,3,49,projective,Grace loves her sister,8.221016666666667,be_right,be_right,grace,0,block2
MC,4376,,3,50,projective,Hats are worn on the head,8.221016666666667,MC,MC,hat,0,block2
C,10512,low_prior,3,51,projective,Frank is allergic to cats,8.221016666666667,say,say,frank,0,block2
C,6833,low_prior,3,52,projective,Sophia is a high end fashion model,8.221016666666667,announce,announce,sophia,0,block2
C,9912,high_prior,3,53,projective,Tony really likes to party with his friends,8.221016666666667,acknowledge,acknowledge,tony,0.55,block2
MC,4304,,3,54,projective,Ballet is a type of dance,8.221016666666667,MC,MC,ballet,0,block2
C,7472,high_prior,3,55,projective,Olivia works the third shift,8.221016666666667,confess,confess,olivia,0.47,block2
MC,4417,,3,56,projective,Many children like ice cream,8.221016666666667,MC,MC,kids,0,block2
C,11016,low_prior,3,57,projective,Josh is a 75-year old man,8.221016666666667,pretend,pretend,josh,0,block2
C,31220,low_prior,4,5,ai,Frank is allergic to cats,14.68005,know,know,frank,0,block1
C,15284,low_prior,4,6,ai,Tony has been sober for 20 years,14.68005,confirm,confirm,tony,0.78,block1
C,20931,high_prior,4,7,ai,Josie loves France,14.68005,demonstrate,demonstrate,josie,0.26,block1
C,48286,high_prior,4,8,ai,Olivia works the third shift,14.68005,see,see,olivia,0,block1
C,16892,low_prior,4,9,ai,Mia is a nun,14.68005,reveal,reveal,mia,0.18,block1
C,27212,low_prior,4,10,ai,Jon lives 10 miles away from work,14.68005,hear,hear,jon,0.29,block1
MC,18507,,4,11,ai,Garages are used to store cars and other things,14.68005,MC,MC,garage,1,block1
C,15508,low_prior,4,12,ai,Sophia is a high end fashion model,14.68005,establish,establish,sophia,0.74,block1
C,18286,high_prior,4,13,ai,Emily has been saving for a year,14.68005,be_annoyed,be_annoyed,emily,0,block1
C,17208,low_prior,4,14,ai,Jayden doesn't have a driver's license,14.68005,discover,discover,jayden,0.09,block1
C,19055,high_prior,4,15,ai,Danny loves cake,14.68005,say,say,danny,0.94,block1
MC,37718,,4,16,ai,Hats are worn on the head,14.68005,MC,MC,hat,1,block1
C,10965,low_prior,4,17,ai,Emma is in first grade,14.68005,pretend,pretend,emma,0.42,block1
C,19813,low_prior,4,18,ai,Julian is German,14.68005,think,think,julian,0.12,block1
MC,11388,,4,19,ai,Many children like ice cream,14.68005,MC,MC,kids,1,block1
MC,8437,,4,20,ai,Ballet is a type of dance,14.68005,MC,MC,ballet,1,block1
C,19981,high_prior,4,21,ai,Grace loves her sister,14.68005,suggest,suggest,grace,0.95,block1
C,12391,high_prior,4,22,ai,Jackson is training for a marathon,14.68005,acknowledge,acknowledge,jackson,0,block1
C,17864,low_prior,4,23,ai,Isabella is a vegetarian,14.68005,admit,admit,isabella,0.05,block1
C,25729,high_prior,4,24,ai,Zoe is a math major,14.68005,be_right,be_right,zoe,1,block1
C,14608,high_prior,4,25,ai,Charley lives in Mexico,14.68005,announce,announce,charley,0.04,block1
C,17473,low_prior,4,26,ai,Mary is a middle school student,14.68005,inform,inform,mary,0.3,block1
C,23671,high_prior,4,27,ai,Owen lives in Chicago,14.68005,confess,confess,owen,0.11,block1
MC,11512,,4,28,ai,Pizza is sold at the pizzeria,14.68005,MC,MC,pizza,1,block1
MC,5731,,4,29,ai,Muffins are sold at the bakery,14.68005,MC,MC,muffins,1,block1
C,15965,high_prior,4,30,ai,Josh is a 5-year old boy,14.68005,prove,prove,josh,0.66,block1
C,59386,low_prior,4,32,projective,Emma is in first grade,14.68005,pretend,pretend,emma,0,block2
C,13612,low_prior,4,33,projective,Sophia is a high end fashion model,14.68005,establish,establish,sophia,0.06,block2
MC,6657,,4,34,projective,Many children like ice cream,14.68005,MC,MC,kids,0,block2
C,11135,high_prior,4,35,projective,Grace loves her sister,14.68005,suggest,suggest,grace,0,block2
MC,8259,,4,36,projective,Ballet is a type of dance,14.68005,MC,MC,ballet,0,block2
MC,6072,,4,37,projective,Hats are worn on the head,14.68005,MC,MC,hat,0,block2
C,15661,low_prior,4,38,projective,Frank is allergic to cats,14.68005,know,know,frank,0.95,block2
C,10876,high_prior,4,39,projective,Jackson is training for a marathon,14.68005,acknowledge,acknowledge,jackson,0.93,block2
C,13622,low_prior,4,40,projective,Jayden doesn't have a driver's license,14.68005,discover,discover,jayden,0.74,block2
C,7680,high_prior,4,41,projective,Emily has been saving for a year,14.68005,be_annoyed,be_annoyed,emily,0.92,block2
MC,4783,,4,42,projective,Muffins are sold at the bakery,14.68005,MC,MC,muffins,0,block2
C,7186,low_prior,4,43,projective,Isabella is a vegetarian,14.68005,admit,admit,isabella,0.73,block2
C,11055,high_prior,4,44,projective,Danny loves cake,14.68005,say,say,danny,0,block2
C,11497,low_prior,4,45,projective,Mary is a middle school student,14.68005,inform,inform,mary,0.95,block2
C,8398,high_prior,4,46,projective,Josh is a 5-year old boy,14.68005,prove,prove,josh,0.04,block2
C,9410,high_prior,4,47,projective,Olivia works the third shift,14.68005,see,see,olivia,1,block2
C,21959,low_prior,4,48,projective,Jon lives 10 miles away from work,14.68005,hear,hear,jon,0.7,block2
C,7863,high_prior,4,49,projective,Zoe is a math major,14.68005,be_right,be_right,zoe,0,block2
C,8119,high_prior,4,50,projective,Charley lives in Mexico,14.68005,announce,announce,charley,0.91,block2
C,6044,low_prior,4,51,projective,Mia is a nun,14.68005,reveal,reveal,mia,0.88,block2
C,6359,low_prior,4,52,projective,Julian is German,14.68005,think,think,julian,0,block2
C,16390,high_prior,4,53,projective,Josie loves France,14.68005,demonstrate,demonstrate,josie,0.04,block2
MC,5252,,4,54,projective,Garages are used to store cars and other things,14.68005,MC,MC,garage,0,block2
C,13610,low_prior,4,55,projective,Tony has been sober for 20 years,14.68005,confirm,confirm,tony,0,block2
MC,4079,,4,56,projective,Pizza is sold at the pizzeria,14.68005,MC,MC,pizza,0,block2
C,12034,high_prior,4,57,projective,Owen lives in Chicago,14.68005,confess,confess,owen,0.07,block2
MC,30295,,5,5,projective,Garages are used to store cars and other things,18.51355,MC,MC,garage,0.01,block1
C,47201,low_prior,5,6,projective,Josie doesn't have a passport,18.51355,establish,establish,josie,0.02,block1
C,39628,high_prior,5,7,projective,Mary is taking a prenatal yoga class,18.51355,inform,inform,mary,0.6,block1
C,24863,low_prior,5,8,projective,Zoe is 5 years old,18.51355,confess,confess,zoe,0.14,block1
MC,9593,,5,9,projective,Ballet is a type of dance,18.51355,MC,MC,ballet,0,block1
C,15815,low_prior,5,10,projective,Isabella is a vegetarian,18.51355,demonstrate,demonstrate,isabella,0.08,block1
C,14074,low_prior,5,11,projective,Jon lives 10 miles away from work,18.51355,hear,hear,jon,0.1,block1
C,15347,high_prior,5,12,projective,Jackson is training for a marathon,18.51355,think,think,jackson,0.09,block1
MC,12597,,5,13,projective,Muffins are sold at the bakery,18.51355,MC,MC,muffins,0.01,block1
C,22230,low_prior,5,14,projective,Danny is a diabetic,18.51355,be_annoyed,be_annoyed,danny,0.78,block1
C,23744,low_prior,5,15,projective,Emily never has any money,18.51355,acknowledge,acknowledge,emily,0.06,block1
